#Overview of data in ClinVar by gene, dated March 2, 2020
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
SLC7A2	6542	74	74	4	-	601872	4	0
SLC7A3	84889	138	134	-	1	300443	4	0
SLC7A4	6545	359	342	5	1	603752	42	0
SLC7A5	8140	65	65	7	3	600182	12	0
SLC7A6	9057	28	28	3	-	605641	4	0
SLC7A6OS	84138	27	27	2	-	-	4	0
SLC7A7	9056	240	194	214	55	603593	42	11
SLC7A8	23428	23	23	5	2	604235	-	-
SLC7A9	11136	125	102	102	33	604144	37	3
SLC8A1	6546	32	32	10	1	182305	3	0
SLC8A1-AS1	100128590	12	12	-	-	-	1	0
SLC8A2	6543	14	14	2	-	601901	1	0
SLC8A3	6547	21	21	11	-	607991	1	0
SLC8B1	80024	9	9	-	-	609841	1	0
SLC9A1	6548	44	44	28	2	107310	11	0
SLC9A2	6549	20	20	1	-	600530	5	0
SLC9A3	6550	156	156	22	8	182307	8	0
SLC9A3-AS1	100288152	76	76	-	1	-	7	0
SLC9A3R1	9368	35	29	19	-	604990	9	0
SLC9A3R2	9351	47	47	4	-	606553	8	0
SLC9A4	389015	21	21	1	-	600531	5	0
SLC9A5	6553	32	32	-	-	600477	7	0
SLC9A6	10479	409	329	235	34	300231	48	10
SLC9A7	84679	166	159	5	2	300368	11	0
SLC9A8	23315	14	14	-	-	612730	2	0
SLC9A9	285195	44	44	25	3	608396	6	0
SLC9A9-AS1	100885796	10	10	-	-	-	1	0
SLC9B1	150159	19	19	-	2	611527	3	0
SLC9B2	133308	12	12	3	-	611789	1	0
SLC9C1	285335	22	22	5	2	612738	2	0
SLC9C2	284525	28	28	1	-	-	1	0
SLCO1A2	6579	39	39	2	-	602883	2	0
SLCO1B1	10599	155	116	96	1	604843	42	4
SLCO1B3	28234	159	136	99	2	605495	61	8
SLCO1B3-SLCO1B7	115072896	116	93	-	-	-	48	0
SLCO1B7	338821	54	54	2	-	-	14	0
SLCO1C1	53919	40	40	4	-	613389	3	0
SLCO2A1	6578	60	58	46	12	601460	3	0
SLCO2B1	11309	15	15	6	-	604988	1	0
SLCO3A1	28232	51	51	2	1	612435	1	0
SLCO4A1	28231	27	27	-	1	612436	6	0
SLCO4A1-AS1	100127888	12	12	-	1	-	-	-
SLCO4C1	353189	30	30	3	-	609013	3	0
SLCO5A1	81796	39	39	9	-	613543	2	0
SLCO6A1	133482	39	39	6	1	613365	4	0
SLF1	84250	29	29	3	-	618467	6	0
SLF2	55719	16	16	2	-	610348	-	-
SLFN11	91607	26	24	4	-	614953	2	0
SLFN12	55106	22	20	-	-	614955	2	0
SLFN12L	100506736	11	11	2	-	614956	2	0
SLFN13	146857	21	19	2	-	614957	2	0
SLFN14	342618	23	23	15	4	614958	5	0
SLFN5	162394	13	13	4	-	614952	2	0
SLFNL1	200172	16	16	-	-	-	4	0
SLFNL1-AS1	100507178	6	6	-	-	-	-	-
SLIRP	81892	22	22	-	-	610211	4	0
SLIT1	6585	23	23	4	-	603742	2	0
SLIT1-AS1	100505540	3	3	-	-	-	-	-
SLIT2	9353	76	75	38	5	603746	10	1
SLIT2-IT1	100505893	10	10	-	-	-	2	0
SLIT3	6586	37	37	18	1	603745	4	0
SLITRK1	114798	126	123	65	2	609678	53	0
SLITRK2	84631	190	186	6	-	300561	2	0
SLITRK3	22865	22	22	1	-	609679	3	0
SLITRK4	139065	185	181	1	-	300562	2	0
SLITRK5	26050	68	68	3	1	609680	4	0
SLITRK6	84189	121	97	57	3	609681	11	1
SLK	9748	22	22	3	1	616563	-	-
SLMAP	7871	68	67	57	1	602701	26	0
SLMO2-ATP5E	100533975	19	19	-	2	-	1	0
SLN	6588	18	18	-	-	602203	1	0
SLPI	6590	9	9	-	-	107285	-	-
SLTM	79811	15	15	1	1	-	1	0
SLU7	10569	18	18	1	-	605974	1	0
SLURP1	57152	68	63	21	11	606119	7	1
SLURP2	432355	25	25	-	-	-	-	-
SLX1A	548593	71	70	-	-	615822	4	0
SLX1A-SULT1A3	100526830	41	40	-	-	-	1	0
SLX1B	79008	64	64	-	-	615823	4	0
SLX1B-SULT1A4	100526831	28	28	-	-	-	1	0
SLX4	84464	806	597	752	25	613278	301	27
SLX4IP	128710	29	29	-	1	615958	2	0
SMAD1	4086	30	29	2	-	601595	2	0
SMAD1-AS1	104326058	13	12	-	-	-	1	0
SMAD1-AS2	101927659	11	11	-	-	-	-	-
SMAD2	4087	56	54	13	4	601366	6	0
SMAD3	4088	768	454	746	73	603109	196	18
SMAD4	4089	1925	986	1846	189	600993	353	26
SMAD5	4090	19	19	-	-	603110	3	0
SMAD5-AS1	9597	6	6	-	-	-	-	-
SMAD6	4091	176	169	159	22	602931	76	2
SMAD7	4092	46	44	6	-	602932	2	0
SMAD9	4093	212	184	173	4	603295	68	2
SMAGP	57228	10	10	-	-	-	2	0
SMAP1	60682	17	17	-	1	611372	7	0
SMAP2	64744	11	11	-	-	616916	2	0
SMARCA1	6594	186	182	11	1	300012	9	0
SMARCA2	6595	424	354	257	44	600014	54	2
SMARCA4	6597	2822	1942	2804	85	603254	888	75
SMARCA5	8467	26	26	4	1	603375	2	0
SMARCA5-AS1	100128055	12	12	-	-	-	1	0
SMARCAD1	56916	39	37	19	7	612761	4	0
SMARCAL1	50485	252	189	234	25	606622	67	18
SMARCB1	6598	484	372	371	43	601607	141	10
SMARCC1	6599	15	15	7	5	601732	1	0
SMARCC2	6601	18	18	9	6	601734	4	0
SMARCD1	6602	13	13	5	5	601735	2	0
SMARCD2	6603	26	23	9	4	601736	3	0
SMARCD3	6604	61	61	-	-	601737	2	0
SMARCE1	6605	206	181	195	16	603111	83	3
SMC1A	8243	468	393	308	88	300040	83	11
SMC1B	27127	59	58	6	-	608685	2	0
SMC2	10592	46	45	6	-	605576	4	0
SMC2-AS1	101928550	24	23	-	-	-	3	0
SMC3	9126	267	184	240	32	606062	45	10
SMC4	10051	26	26	7	-	605575	3	0
SMC5	23137	48	47	5	-	609386	2	0
SMC5-AS1	100507299	23	22	-	-	-	-	-
SMC6	79677	23	23	1	-	609387	2	0
SMCHD1	23347	554	446	429	59	614982	201	29
SMCO1	255798	91	90	-	-	-	8	0
SMCO2	341346	52	51	-	-	-	10	0
SMCO3	440087	35	35	-	-	-	1	0
SMCO4	56935	14	14	-	-	609477	-	-
SMCP	4184	7	7	-	-	601148	-	-
SMCR2	105371564	65	65	-	-	-	2	0
SMCR5	140771	65	65	-	-	-	-	-
SMCR8	140775	111	111	1	-	617074	-	-
SMDT1	91689	28	27	-	1	615588	3	0
SMG1	23049	24	24	7	-	607032	4	0
SMG5	23381	24	24	2	2	610962	4	0
SMG6	23293	80	80	5	16	610963	8	0
SMG7	9887	23	23	-	-	610964	1	0
SMG7-AS1	284649	7	7	-	-	-	-	-
SMG8	55181	23	23	2	-	613175	5	0
SMG9	56006	32	29	23	2	613176	2	0
SMILR	105375734	21	21	-	1	-	-	-
SMIM1	388588	91	91	1	-	615242	5	0
SMIM10	644538	171	167	-	-	-	4	0
SMIM10L1	100129361	12	12	-	-	-	-	-
SMIM10L2A	399668	90	86	-	-	-	1	0
SMIM10L2B	644596	89	85	-	-	-	-	-
SMIM10L2B-AS1	100287728	89	85	-	-	-	-	-
SMIM11A	54065	75	70	-	-	-	10	0
SMIM11B	102723553	41	36	-	29	-	7	0
SMIM12	113444	15	15	-	-	-	5	0
SMIM13	221710	28	28	-	-	-	-	-
SMIM14	201895	19	19	-	-	-	4	0
SMIM15	643155	22	22	-	-	-	8	0
SMIM15-AS1	101928630	6	6	-	-	-	-	-
SMIM17	147670	31	31	-	-	-	10	0
SMIM18	100507341	58	58	-	-	-	3	0
SMIM19	114926	53	53	-	-	-	10	0
SMIM2	79024	38	38	-	-	-	-	-
SMIM2-AS1	101929212	27	27	-	-	-	-	-
SMIM2-IT1	100874377	27	27	-	-	-	-	-
SMIM20	389203	25	25	-	-	617465	-	-
SMIM21	284274	119	117	-	1	-	-	-
SMIM22	440335	28	28	-	-	-	5	0
SMIM23	644994	16	16	-	-	-	1	0
SMIM24	284422	25	25	-	-	-	7	0
SMIM26	388789	9	9	-	-	-	-	-
SMIM27	100129250	36	34	-	-	-	3	0
SMIM28	110806279	4	4	-	-	-	1	0
SMIM29	221491	7	7	-	-	611419	-	-
SMIM3	85027	14	14	-	-	608324	1	0
SMIM30	401397	5	5	-	-	-	1	0
SMIM31	100505989	16	16	-	-	-	1	0
SMIM32	389332	6	6	-	-	-	-	-
SMIM33	111064649	8	8	-	-	-	1	0
SMIM34A	388820	36	31	-	-	-	1	0
SMIM34B	107983987	41	36	-	-	-	7	0
SMIM35	100526771	27	27	-	1	-	14	0
SMIM38	107984345	3	3	-	-	-	-	-
SMIM4	440957	9	9	-	-	-	-	-
SMIM40	113523636	2	2	-	-	-	1	0
SMIM41	113523638	3	3	-	-	-	-	-
SMIM5	643008	19	19	-	1	-	3	0
SMIM6	100130933	18	18	-	-	-	3	0
SMIM7	79086	14	14	-	-	-	2	0
SMIM8	57150	17	17	-	-	-	2	0
SMIM9	100132963	201	197	-	-	-	6	0
SMKR1	100287482	23	23	-	-	-	-	-
SMLR1	100507203	13	13	-	-	-	1	0
SMN1	6606	195	162	116	48	600354	33	4
SMN2	6607	72	69	3	1	601627	4	0
SMNDC1	10285	23	23	-	-	603519	1	0
SMO	6608	70	60	32	4	601500	3	0
SMOC1	64093	58	54	47	10	608488	7	1
SMOC2	64094	70	70	11	6	607223	2	0
SMOX	54498	31	31	3	1	615854	3	0
SMPD1	6609	586	349	568	129	607608	116	39
SMPD2	6610	24	24	2	-	603498	3	0
SMPD3	55512	27	27	-	2	605777	5	0
SMPD4	55627	45	45	8	7	610457	20	0
SMPDL3A	10924	15	15	-	-	610728	2	0
SMPDL3B	27293	12	12	2	-	617737	3	0
SMPX	23676	181	176	16	8	300066	9	0
SMPX	23676	181	176	16	8	300226	9	0
SMR3A	26952	27	27	1	-	618340	5	0
SMR3B	10879	26	26	1	-	611593	5	0
SMS	6611	218	193	53	13	300105	15	3
SMTN	6525	27	26	5	-	602127	-	-
SMTNL1	219537	11	11	-	-	613664	3	0
SMTNL2	342527	39	39	2	-	-	12	0
SMU1	55234	64	62	-	-	617811	-	-
SMUG1	23583	12	12	2	-	607753	1	0
SMURF1	57154	16	16	1	1	605568	1	0
SMURF2	64750	19	19	3	1	605532	2	0
SMYD1	150572	19	19	4	-	606846	4	0
SMYD2	56950	18	18	-	-	610663	3	0
SMYD3	64754	138	138	3	5	608783	36	0
SMYD4	114826	73	73	-	-	-	8	0
SMYD5	10322	11	11	2	-	-	-	-
SNAI1	6615	14	14	1	-	604238	1	0
SNAI2	6591	74	54	49	2	602150	22	1
SNAI3	333929	68	68	-	-	612741	9	0
SNAI3-AS1	197187	25	25	-	-	-	-	-
SNAP23	8773	9	9	-	-	602534	1	0
SNAP25	6616	57	53	27	4	600322	11	0
SNAP25-AS1	100131208	13	13	-	-	-	1	0
SNAP29	9342	488	445	129	8	604202	103	2
SNAP47	116841	32	32	-	-	-	4	0
SNAP91	9892	37	37	9	1	607923	11	0
SNAPC1	6617	13	13	-	-	600591	1	0
SNAPC2	6618	6	6	-	-	605076	-	-
SNAPC3	6619	95	93	-	-	602348	1	0
SNAPC4	6621	65	64	3	1	602777	7	0
SNAPC5	10302	70	40	1	1	605979	18	0
SNAPIN	23557	12	12	1	1	607007	3	0
SNAR-A1	100126798	3	3	-	-	-	-	-
SNAR-A10	100170216	5	5	-	-	-	1	0
SNAR-A11	100169954	5	5	-	-	-	1	0
SNAR-A12	100126800	2	2	-	-	-	-	-
SNAR-A13	100169959	4	4	-	-	-	-	-
SNAR-A14	100191063	5	5	-	-	-	1	0
SNAR-A2	100126799	4	4	-	-	-	-	-
SNAR-A3	100169951	3	3	-	-	-	-	-
SNAR-A4	100169956	5	5	-	-	-	1	0
SNAR-A5	100169952	5	5	-	-	-	1	0
SNAR-A6	100169957	5	5	-	-	-	1	0
SNAR-A7	100169953	5	5	-	-	-	1	0
SNAR-A8	100169958	5	5	-	-	-	1	0
SNAR-A9	100169955	5	5	-	-	-	1	0
SNAR-B1	100170224	5	5	-	-	-	1	0
SNAR-B2	100170217	5	5	-	-	-	1	0
SNAR-C1	100170225	4	4	-	-	-	-	-
SNAR-C2	100170218	3	3	-	-	-	-	-
SNAR-C3	100170226	4	4	-	-	-	-	-
SNAR-C4	100170219	4	4	-	-	-	-	-
SNAR-C5	100170223	3	3	-	-	-	-	-
SNAR-D	100170227	5	5	-	-	-	1	0
SNAR-E	100170220	6	6	-	-	-	2	0
SNAR-F	100126781	5	5	-	-	-	-	-
SNAR-G1	100126780	3	3	-	-	-	-	-
SNAR-G2	100170228	3	3	-	-	-	-	-
SNAR-H	100170221	6	6	-	-	-	2	0
SNAR-I	100170222	22	22	-	-	-	-	-
SNCA	6622	104	94	85	8	163890	46	2
SNCA-AS1	644248	15	15	-	-	-	7	0
SNCAIP	9627	89	78	60	-	603779	29	2
SNCB	6620	54	53	2	2	602569	2	0
SNCG	6623	46	46	2	1	602998	1	0
SND1	27044	50	50	16	2	602181	8	0
SND1-IT1	27099	10	10	-	-	-	-	-
SNED1	25992	102	102	10	2	616634	7	0
SNF8	11267	15	15	1	-	610904	4	0
SNHG1	23642	12	12	-	-	603222	2	0
SNHG10	283596	20	20	-	-	-	1	0
SNHG11	128439	8	8	-	-	-	-	-
SNHG12	85028	5	5	-	-	-	2	0
SNHG14	104472715	752	601	-	184	616259	144	0
SNHG15	285958	23	23	-	-	-	1	0
SNHG16	100507246	2	2	-	-	-	-	-
SNHG17	388796	3	3	-	-	-	-	-
SNHG18	100505806	44	44	-	-	-	-	-
SNHG19	100507303	9	9	-	-	-	1	0
SNHG20	654434	2	2	-	-	-	-	-
SNHG21	100505616	7	7	-	-	-	1	0
SNHG22	103091864	132	120	-	3	-	73	0
SNHG23	100507242	21	21	-	1	-	-	-
SNHG24	101929369	20	20	-	-	-	-	-
SNHG25	105376843	2	2	-	-	-	-	-
SNHG26	109729180	16	16	-	-	-	1	0
SNHG27	101927305	9	9	-	-	-	1	0
SNHG28	284677	11	11	-	1	-	1	0
SNHG29	125144	19	19	-	-	-	1	0
SNHG3	8420	13	13	-	-	603238	5	0
SNHG30	105371743	1	1	-	-	-	1	0
SNHG31	101928103	85	73	-	11	-	27	0
SNHG32	50854	11	11	-	-	605447	2	0
SNHG4	724102	26	26	-	-	-	5	0
SNHG5	387066	15	15	-	-	613263	1	0
SNHG6	641638	23	23	-	-	612215	1	0
SNHG7	84973	50	49	-	-	-	-	-
SNHG8	100093630	17	17	-	-	-	2	0
SNHG9	735301	38	38	-	-	-	6	0
SNIP1	79753	29	28	17	2	608241	7	1
SNN	8303	23	23	-	-	603032	5	0
SNORA1	677792	4	4	-	-	-	-	-
SNORA10	574042	11	11	-	-	-	1	0
SNORA100	106635532	43	43	-	-	-	1	0
SNORA101A	107399301	3	3	-	-	-	-	-
SNORA101B	107399303	17	17	-	-	-	2	0
SNORA103	106635533	11	11	-	-	-	-	-
SNORA104	106635534	8	8	-	-	-	2	0
SNORA105A	106635539	27	27	-	-	-	2	0
SNORA105B	106635540	14	14	-	-	-	-	-
SNORA105C	106635541	1	1	-	-	-	-	-
SNORA107	106635542	35	35	-	-	-	1	0
SNORA108	106635543	33	31	-	-	-	2	0
SNORA109	106635544	70	66	-	-	-	-	-
SNORA10B	109616960	6	6	-	-	-	1	0
SNORA11	677799	134	130	-	-	300662	1	0
SNORA110	106635545	4	4	-	-	-	1	0
SNORA111	106635546	25	23	-	-	-	1	0
SNORA112	109623481	21	21	-	-	-	11	0
SNORA113	109623461	3	3	-	-	-	-	-
SNORA114	109623488	19	19	-	-	-	3	0
SNORA115	109623482	6	6	-	-	-	-	-
SNORA116	109623462	11	11	-	-	-	-	-
SNORA117	109623463	12	12	-	-	-	-	-
SNORA118	109623483	3	3	-	-	-	-	-
SNORA119	109623464	23	23	-	-	-	5	0
SNORA11B	100124539	8	8	-	-	-	1	0
SNORA11C	100124540	80	76	-	-	-	1	0
SNORA11D	100124541	86	82	-	-	-	2	0
SNORA11E	101340250	86	82	-	-	-	2	0
SNORA11F	109617000	7	7	-	-	-	-	-
SNORA11G	109616961	70	66	-	-	-	-	-
SNORA12	677800	15	15	-	-	611330	2	0
SNORA120	109729112	16	16	-	-	-	1	0
SNORA13	654322	13	13	-	-	-	-	-
SNORA14A	677801	15	15	-	-	-	5	0
SNORA14B	677802	16	16	-	-	-	2	0
SNORA15	677803	12	12	-	-	-	5	0
SNORA15B-1	109616962	12	12	-	-	-	2	0
SNORA15B-2	109617022	10	10	-	-	-	1	0
SNORA16A	692073	5	5	-	-	-	2	0
SNORA16B	692157	5	5	-	-	-	-	-
SNORA17A	677804	28	27	-	-	-	-	-
SNORA17B	677824	28	27	-	-	-	-	-
SNORA18	677805	4	4	-	-	-	-	-
SNORA19	641451	8	8	-	-	-	1	0
SNORA1B	109617001	17	17	-	-	-	-	-
SNORA20	677806	9	9	-	-	-	1	0
SNORA20B	109616963	10	10	-	-	-	1	0
SNORA21	619505	2	2	-	-	-	-	-
SNORA21B	109617002	2	2	-	-	-	-	-
SNORA22	677807	10	10	-	-	-	1	0
SNORA22B	109616964	12	12	-	-	-	5	0
SNORA22C	109616965	12	12	-	-	-	2	0
SNORA23	677808	5	5	-	-	-	2	0
SNORA24	677809	5	5	-	-	-	-	-
SNORA24B	109617003	2	2	-	-	-	-	-
SNORA25	684959	4	4	-	-	-	-	-
SNORA25B	109623459	10	10	-	-	-	-	-
SNORA26	677810	15	15	-	-	614626	2	0
SNORA27	619499	16	16	-	-	-	-	-
SNORA28	677811	27	27	-	-	-	2	0
SNORA29	677812	9	9	-	-	-	1	0
SNORA2A	677793	1	1	-	-	-	-	-
SNORA2B	677794	1	1	-	-	-	-	-
SNORA2C	677815	1	1	-	-	615487	-	-
SNORA30	677813	4	4	-	-	-	-	-
SNORA30B	109616992	40	38	-	-	-	1	0
SNORA31	677814	30	30	-	-	-	-	-
SNORA31B	109616966	30	30	-	-	-	-	-
SNORA32	692063	4	4	-	-	-	-	-
SNORA33	594839	2	2	-	-	-	1	0
SNORA35	677816	83	79	-	-	-	-	-
SNORA35B	109617004	86	82	-	-	-	1	0
SNORA36A	677817	105	101	-	-	-	-	-
SNORA36B	677818	10	10	-	-	-	-	-
SNORA36C	100124535	3	3	-	-	-	-	-
SNORA37	677819	28	26	-	-	-	-	-
SNORA38	677820	1	1	-	-	-	-	-
SNORA38B	100124536	3	3	-	-	-	-	-
SNORA3A	619562	4	4	-	-	-	1	0
SNORA3B	677826	17	17	-	-	611333	2	0
SNORA3C	109616997	11	11	-	-	-	2	0
SNORA4	619568	19	19	-	-	-	-	-
SNORA40	677822	4	4	-	-	-	-	-
SNORA40B	109616967	3	3	-	-	-	2	0
SNORA40C	109616968	9	9	-	-	-	1	0
SNORA41	619569	10	10	-	-	-	-	-
SNORA41B	109617005	2	2	-	-	-	2	0
SNORA44	677825	5	5	-	-	-	2	0
SNORA46	677827	6	6	-	-	-	1	0
SNORA47	677828	2	2	-	-	-	-	-
SNORA48	652965	8	8	-	-	-	1	0
SNORA48B	109616969	115	111	-	-	-	3	0
SNORA49	677829	10	10	-	-	-	-	-
SNORA50A	677830	6	6	-	-	-	1	0
SNORA50B	109616998	10	9	-	-	-	2	0
SNORA50C	677842	2	2	-	-	-	-	-
SNORA50D	109616958	5	5	-	-	-	1	0
SNORA51	677831	14	14	-	-	-	3	0
SNORA52	619565	9	9	-	-	-	-	-
SNORA53	677832	3	3	-	-	-	-	-
SNORA54	677833	10	10	-	-	-	1	0
SNORA55	677834	5	5	-	-	-	1	0
SNORA56	677835	105	101	-	-	-	1	0
SNORA57	692158	4	4	-	-	-	1	0
SNORA58	677836	7	7	-	-	-	1	0
SNORA58B	109617023	1	1	-	-	-	-	-
SNORA59A	677885	20	20	-	-	-	2	0
SNORA59B	677882	55	55	-	-	-	2	0
SNORA5A	654319	11	11	-	-	-	-	-
SNORA5B	677795	11	11	-	-	-	-	-
SNORA5C	677796	23	23	-	-	611335	1	0
SNORA6	574040	2	2	-	-	-	-	-
SNORA60	677837	3	3	-	-	-	-	-
SNORA61	677838	5	5	-	-	-	2	0
SNORA62	6044	9	9	-	-	180646	1	0
SNORA63	6043	42	42	-	-	180647	2	0
SNORA63B	109617006	19	19	-	-	-	-	-
SNORA63C	109616970	2	2	-	-	-	-	-
SNORA63D	109616971	17	17	-	-	-	1	0
SNORA63E	109617007	17	17	-	-	-	1	0
SNORA64	26784	11	11	-	-	-	1	0
SNORA65	26783	17	16	-	-	-	-	-
SNORA66	26782	4	4	-	-	-	1	0
SNORA67	26781	8	8	-	-	-	1	0
SNORA68	26780	4	4	-	-	-	-	-
SNORA68B	109616972	7	7	-	-	-	2	0
SNORA69	26779	84	80	-	-	-	-	-
SNORA70	26778	111	107	-	-	-	3	0
SNORA70B	100124537	13	13	-	-	-	2	0
SNORA70C	100124538	18	17	-	-	-	5	0
SNORA70D	100379141	14	14	-	-	-	1	0
SNORA70E	100379250	3	3	-	-	-	-	-
SNORA70F	100337591	8	8	-	-	-	1	0
SNORA70G	100379132	4	4	-	-	-	-	-
SNORA70H	109616993	3	3	-	-	-	1	0
SNORA70I	109617008	11	11	-	-	-	4	0
SNORA70J	109616973	6	6	-	-	-	1	0
SNORA71A	26777	3	3	-	-	-	-	-
SNORA71B	26776	3	3	-	-	-	-	-
SNORA71C	677839	3	3	-	-	-	-	-
SNORA71D	677840	3	3	-	-	-	-	-
SNORA71E	677821	3	3	-	-	-	-	-
SNORA72	26775	14	14	-	-	-	-	-
SNORA73A	6080	13	13	-	-	180645	5	0
SNORA73B	26768	5	5	-	-	603239	2	0
SNORA74A	26821	9	9	-	-	-	2	0
SNORA74B	677841	19	19	-	-	611331	-	-
SNORA74C-1	109616974	15	15	-	-	-	2	0
SNORA74C-2	109617009	11	11	-	-	-	2	0
SNORA74D	109616975	9	9	-	-	-	2	0
SNORA75	654321	11	11	-	-	-	-	-
SNORA75B	109616994	16	16	-	-	-	1	0
SNORA77	677843	1	1	-	-	-	-	-
SNORA77B	109617010	190	172	-	-	-	7	0
SNORA78	677844	11	11	-	-	-	1	0
SNORA79	677845	6	6	-	-	-	-	-
SNORA79B	109616976	10	10	-	-	-	-	-
SNORA7A	619563	10	10	-	-	-	1	0
SNORA7B	677797	4	4	-	-	-	1	0
SNORA8	654320	4	4	-	-	-	-	-
SNORA80A	677846	38	33	-	-	-	1	0
SNORA80B	100302743	15	15	-	-	-	2	0
SNORA80C	109616959	7	7	-	-	-	1	0
SNORA80D	109616999	19	19	-	-	-	2	0
SNORA80E	677823	4	4	-	-	-	2	0
SNORA81	677847	42	42	-	-	611334	2	0
SNORA84	100124534	17	16	-	-	-	2	0
SNORA86	106633814	2	2	-	-	-	-	-
SNORA87	106635520	11	11	-	-	-	-	-
SNORA88	106635521	4	4	-	-	-	1	0
SNORA89	106635522	10	10	-	-	-	-	-
SNORA9	677798	12	12	-	-	-	1	0
SNORA90	106635523	47	42	-	-	-	1	0
SNORA91	106635524	48	43	-	-	-	1	0
SNORA92	106635525	9	8	-	-	-	-	-
SNORA93	106635526	9	9	-	-	-	1	0
SNORA94	106635528	1	1	-	-	-	-	-
SNORA95	106635529	8	8	-	-	-	2	0
SNORA98	106635530	4	4	-	-	-	-	-
SNORA99	106635531	55	55	-	-	-	3	0
SNORA9B	109616977	11	11	-	-	-	1	0
SNORC	389084	25	25	-	-	-	1	0
SNORD10	652966	8	8	-	-	-	1	0
SNORD100	594838	2	2	-	-	-	1	0
SNORD101	594837	2	2	-	-	-	1	0
SNORD102	26771	16	16	-	-	-	-	-
SNORD103A	692234	8	8	-	-	-	3	0
SNORD103B	692235	8	8	-	-	-	3	0
SNORD103C	692200	8	8	-	-	-	3	0
SNORD104	692227	2	2	-	-	-	-	-
SNORD105	692229	2	2	-	-	-	-	-
SNORD105B	100113382	2	2	-	-	-	-	-
SNORD107	91380	158	151	-	-	-	1	0
SNORD108	338427	158	151	-	-	-	1	0
SNORD109A	338428	158	151	-	-	-	1	0
SNORD109B	338429	158	151	-	-	-	-	-
SNORD11	692058	14	14	-	-	-	1	0
SNORD110	692213	14	14	-	-	-	3	0
SNORD111	692214	15	15	-	-	-	2	0
SNORD111B	100113402	15	15	-	-	-	2	0
SNORD112	692215	35	35	-	-	613649	-	-
SNORD113-1	767561	34	34	-	-	613650	-	-
SNORD113-2	767562	21	21	-	-	-	-	-
SNORD113-3	767563	21	21	-	-	-	-	-
SNORD113-4	767564	21	21	-	-	-	-	-
SNORD113-5	767565	21	21	-	-	-	-	-
SNORD113-6	767566	21	21	-	-	-	-	-
SNORD113-7	767567	21	21	-	-	-	-	-
SNORD113-8	767568	21	21	-	-	-	-	-
SNORD113-9	767569	20	20	-	-	-	-	-
SNORD114-1	767577	33	33	-	-	613651	-	-
SNORD114-10	767588	20	20	-	-	-	-	-
SNORD114-11	767589	20	20	-	-	-	-	-
SNORD114-12	767590	20	20	-	-	-	-	-
SNORD114-13	767591	20	20	-	-	-	-	-
SNORD114-14	767592	20	20	-	-	-	-	-
SNORD114-15	767593	20	20	-	-	-	-	-
SNORD114-16	767594	20	20	-	-	-	-	-
SNORD114-17	767595	20	20	-	-	-	-	-
SNORD114-18	767596	20	20	-	-	-	-	-
SNORD114-19	767597	20	20	-	-	-	-	-
SNORD114-2	767578	20	20	-	-	-	-	-
SNORD114-20	767598	20	20	-	-	-	-	-
SNORD114-21	767599	20	20	-	-	-	-	-
SNORD114-22	767600	20	20	-	-	-	-	-
SNORD114-23	767603	20	20	-	-	-	-	-
SNORD114-24	767604	20	20	-	-	-	-	-
SNORD114-25	767605	20	20	-	-	-	-	-
SNORD114-26	767606	20	20	-	-	-	-	-
SNORD114-27	767608	20	20	-	-	-	-	-
SNORD114-28	767609	20	20	-	-	-	-	-
SNORD114-29	767610	20	20	-	-	-	-	-
SNORD114-3	767579	20	20	-	-	-	-	-
SNORD114-30	767611	20	20	-	-	-	-	-
SNORD114-31	767612	20	20	-	-	-	-	-
SNORD114-4	767580	20	20	-	-	-	-	-
SNORD114-5	767581	20	20	-	-	-	-	-
SNORD114-6	767582	20	20	-	-	-	-	-
SNORD114-7	767583	20	20	-	-	-	-	-
SNORD114-8	767584	20	20	-	-	-	-	-
SNORD114-9	767585	20	20	-	-	-	-	-
SNORD115-1	338433	310	303	-	-	609837	1	0
SNORD115-10	100033447	158	151	-	-	-	-	-
SNORD115-11	100033448	158	151	-	-	-	-	-
SNORD115-12	100033449	158	151	-	-	-	-	-
SNORD115-13	100033450	158	151	-	-	-	-	-
SNORD115-14	100033451	158	151	-	-	-	-	-
SNORD115-15	100033453	158	151	-	-	-	-	-
SNORD115-16	100033454	158	151	-	-	-	-	-
SNORD115-17	100033455	158	151	-	-	-	-	-
SNORD115-18	100033456	158	151	-	-	-	-	-
SNORD115-19	100033458	158	151	-	-	-	-	-
SNORD115-2	100033437	158	151	-	-	-	-	-
SNORD115-20	100033460	158	151	-	-	-	-	-
SNORD115-21	100033603	158	151	-	-	-	-	-
SNORD115-22	100033799	158	151	-	-	-	-	-
SNORD115-23	100033800	158	151	-	-	-	-	-
SNORD115-24	100036563	158	151	-	-	-	-	-
SNORD115-25	100033801	158	151	-	-	-	-	-
SNORD115-26	100033802	158	151	-	-	-	-	-
SNORD115-27	100036564	158	151	-	-	-	-	-
SNORD115-28	100036565	158	151	-	-	-	-	-
SNORD115-29	100033803	158	151	-	-	-	-	-
SNORD115-3	100033440	158	151	-	-	-	-	-
SNORD115-30	100033804	158	151	-	-	-	-	-
SNORD115-31	100033805	158	151	-	-	-	-	-
